"","sample.name","meancov_all","sdcov_all","meandep_all","sddep_all","meanbq_all","sdbq_all","meanmq_all","sdmq_all","nreads_all","meancov_chr","sdcov_chr","meandep_chr","sddep_chr","meanbq_chr","sdbq_chr","meanmq_chr","sdmq_chr","nreads_chr","Batch"
"1","GBR-695",72.557476662234,18.9469892977927,12.6483451478723,49.6384074391263,36.1018617021277,0.109212125874882,25.8654561170213,12.3782399913864,33960833,85.75395,1.81985769171024,8.92322857142857,0.441993659384683,36.1,0,39.9214285714286,2.15555760104632,22051645,"GBR"
"2","GBR-696",71.3483623763298,19.0300118226902,11.3710976537234,55.2447915543207,36.0550531914894,0.155163235519602,26.4491595744681,12.5401443654712,29469886,85.1280071428571,1.90226411272474,7.86105285714286,0.30059590023379,36.0928571428571,0.0267261241912428,40.4357142857143,1.89111572393618,19297900,"GBR"
"3","GBR-697",71.7810732140957,18.9125087829904,11.9610889739362,66.3264644139741,36.0711436170213,0.11355422743807,25.9897832446809,12.566280543792,29592011,85.1976428571429,1.88448786216239,7.86794071428571,0.362120846285926,36.0928571428571,0.0267261241912428,40.0785714285714,2.20041204932467,19439366,"GBR"
"4","GBR-698",72.9730681875,18.5707338923356,12.2749391106383,65.3650551230452,36.0011968085106,0.123685756151443,25.6435257978723,12.5594450089446,29553599,85.3729857142857,1.65867170482757,7.56803785714286,0.445936335265965,36,0,39.1642857142857,2.49078521535097,18810218,"GBR"
"5","GBR-699",70.4455551223404,19.1980089213313,11.9341112739362,75.3906546439613,36.0793882978723,0.110262479581635,25.6795212765957,12.4653115632831,27123134,84.3405214285714,2.04485763551047,7.01955714285714,0.322759505667767,36.1,0,39.7214285714286,1.87090211536433,17523017,"GBR"
"6","GBR-700",71.1098578590425,16.8543123590177,9.8082835212766,57.3423794279868,35.9820478723404,0.106684985450782,24.7363151595745,10.663522077763,24661824,82.4748071428571,1.42140065670033,5.03128142857143,0.2850276672362,36,0,35.4642857142857,1.68824312086999,15643635,"GBR"
"7","GBR-702",70.8973719773936,19.1576983317831,10.0945296789894,51.7257602520082,36.0732712765957,0.111834673605605,26.0011406914894,12.6806128407916,25415734,84.8344928571429,2.15682906047255,6.64502785714286,0.414178211795145,36.0928571428571,0.0267261241912428,39.4071428571429,2.42089121724093,16356040,"GBR"
"8","RRAP-ECO03-2022-Ahya-OCDA-76B",75.7654523231383,17.8825282519467,15.9424569243351,81.8507474229313,35.9703457446808,0.103266942403267,25.9859468085106,12.4021441960769,39270038,87.3936785714286,1.89435683145761,9.99608071428571,0.5274813131282,35.9928571428571,0.0267261241912428,39.3357142857143,2.12190304384355,24962928,"GBR"
"9","RRAP-ECO03-2022-Ahya-OCDA-90B",75.6418728457447,18.2148363951071,14.9880154652926,81.2940097488452,36.088829787234,0.117600115790941,26.1694707446809,12.2684981145137,34764264,86.9580285714286,1.93736785690457,8.91835714285714,0.437674308808741,36.1,0,39.0857142857143,2.23464233684641,21928936,"GBR"
"10","RRAP-ECO03-2022-Amil-OCCH-131B",75.2610558337766,19.6882678282098,12.1359638273936,70.3998744482251,36.0840425531915,0.126240901312445,27.2239888297872,12.8223651630263,28900029,87.6932214285714,1.64924807210791,7.59714785714286,0.360998229703278,36.1,0,40.5571428571429,2.31341049791604,18527830,"GBR"
"11","RRAP-ECO03-2022-Amil-OCCH-134B",76.5295022300532,19.1792155692343,13.8924969583777,77.5268104086805,36.0708776595745,0.117180711868163,27.4760279255319,12.8035061710529,33964439,88.4511285714286,1.76950834780937,9.02695928571429,0.407537461561969,36.0928571428571,0.0267261241912428,40.4785714285714,2.42651334901892,21882514,"GBR"
"12","RRAP-ECO03-2022-Amil-OCCH-138B",75.3302300864362,19.8556893005124,14.0285788984043,79.0468819821997,36.0102393617021,1.32040785618597,27.3364295212766,12.8978647493385,32847519,88.2277785714286,1.74629010814732,8.60110142857143,0.306366682383586,36.0928571428571,0.0267261241912428,40.7714285714286,2.13196499156875,20784509,"GBR"
"13","RRAP-ECO03-2022-Amil-OCCH-139B",76.9800574281915,18.5607832933736,10.9134339281915,64.7324109750317,35.7989361702128,0.116650712513556,27.6889654255319,12.6534749192764,26768751,88.7631428571429,1.46338842822681,7.00495928571429,0.267416883980634,35.8,0,40.6428571428571,2.28227763622027,17277351,"GBR"
"14","RRAP-ECO03-2022-Amil-OCCH-141B",72.4661541715426,19.5279453969437,10.1742031420213,68.9527330491973,36.0554521276596,0.120239697780024,27.5788656914894,12.7705296298631,21163497,84.9044714285714,1.64754176808432,5.36438857142857,0.288680815404172,36.0928571428571,0.0267261241912428,39.5071428571429,2.58887094063276,13043405,"GBR"
"15","RRAP-ECO03-2022-Amil-OCCH-142B",75.0853429228723,19.8393308695212,12.5345569618351,66.1515119273936,36.0398936170213,0.188353265741607,27.9551875,12.9967520039898,31983442,88.0258142857143,1.77368897622881,8.71703,0.292848143267777,36.0785714285714,0.0425815313626326,42.0928571428571,1.7166444395588,21040048,"GBR"
"16","RRAP-ECO03-2022-Amil-OCCH-143B",75.6794239095745,19.0253822341185,12.8126003868351,68.7003495639723,35.85,1.85620921498636,27.409892287234,12.711584365724,30803288,88.2324785714286,1.62960584294229,8.17815142857143,0.291140777971418,35.9571428571429,0.0513552591013103,40.7928571428571,2.14564470702659,19781445,"GBR"
